时间,最新价,开盘价,最高价,最低价,成交量,成交额,主力净流入,MA5,MA20
2025-05-30 01:49:15,0.995,0,0,0,0,0,0,0.9962,1.00995
2025-05-30 10:22:19,0.992,0,0,0,0,0,0,0.9954000000000001,1.00975
2025-05-30 10:22:51,0.992,0,0,0,0,0,0,0.9954000000000001,1.00975
2025-05-30 10:23:32,0.993,0,0,0,0,0,0,0.9954000000000001,1.00975
2025-05-30 10:23:43,0.993,0,0,0,0,0,-63534104.0,0.9955999999999999,1.0097999999999998
2025-05-30 10:25:12,0.993,0.0,0.0,0.0,0.0,0.0,-63534104.0,0.9955999999999999,1.0097999999999998
